date,day_of_the_month,day_of_the_year,year,hour_num,words,type
2015-08-25,25,237,2015,15.17,199,topDay
2015-08-25,25,237,2015,22.48,164,topDay
2015-08-25,25,237,2015,22.9,198,topDay
2015-08-25,25,237,2015,22.95,141,topDay
2015-08-25,25,237,2015,23.17,161,topDay
2015-08-25,25,237,2015,23.18,203,topDay
2015-08-25,25,237,2015,23.3,155,topDay
2015-08-25,25,237,2015,23.5,237,topDay
2015-08-25,25,237,2015,23.92,211,topDay
2015-08-25,25,237,2015,23.93,210,topDay
2015-08-25,26,238,2015,24.02,130,topDay
2015-08-25,26,238,2015,24.03,167,topDay
2015-08-25,26,238,2015,24.07,113,topDay
2015-08-25,26,238,2015,24.2,102,topDay
2015-08-25,26,238,2015,24.22,101,topDay
2015-08-25,26,238,2015,24.43,104,topDay
2015-08-25,26,238,2015,24.52,117,topDay
2015-08-25,26,238,2015,24.57,121,topDay
2015-08-25,26,238,2015,24.73,107,topDay
2015-08-25,26,238,2015,24.82,102,topDay
2015-08-25,25,237,2015,14.42,55,firstDay
2015-08-25,25,237,2015,14.43,92,firstDay
2015-08-25,25,237,2015,14.47,57,firstDay
2015-08-25,25,237,2015,14.57,74,firstDay
2015-08-25,25,237,2015,14.58,80,firstDay
2015-08-25,25,237,2015,14.63,125,firstDay
2015-08-25,25,237,2015,14.7,15,firstDay
2015-08-25,25,237,2015,14.72,68,firstDay
2015-08-25,25,237,2015,15.17,199,firstDay
2015-08-25,25,237,2015,15.2,41,firstDay
2015-08-25,25,237,2015,15.22,44,firstDay
2015-08-25,25,237,2015,15.4,86,firstDay
2015-08-25,25,237,2015,15.42,18,firstDay
2015-08-25,25,237,2015,15.43,105,firstDay
2015-08-25,25,237,2015,15.95,57,firstDay
2015-08-25,25,237,2015,16.05,24,firstDay
2015-08-25,25,237,2015,16.07,84,firstDay
2015-08-25,25,237,2015,16.25,73,firstDay
2015-08-25,25,237,2015,16.3,88,firstDay
2015-08-25,25,237,2015,16.32,84,firstDay
2015-08-25,25,237,2015,16.35,115,firstDay
2015-08-25,25,237,2015,17.53,60,firstDay
2015-08-25,25,237,2015,17.55,36,firstDay
2015-08-25,25,237,2015,17.82,113,firstDay
2015-08-25,25,237,2015,19.62,103,firstDay
2015-08-25,25,237,2015,19.63,41,firstDay
2015-08-25,25,237,2015,21.43,70,firstDay
2015-08-25,25,237,2015,21.45,49,firstDay
2015-08-25,25,237,2015,21.92,59,firstDay
2015-08-25,25,237,2015,21.95,55,firstDay
2015-08-25,25,237,2015,21.98,130,firstDay
2015-08-25,25,237,2015,22,65,firstDay
2015-08-25,25,237,2015,22.32,91,firstDay
2015-08-25,25,237,2015,22.43,92,firstDay
2015-08-25,25,237,2015,22.47,33,firstDay
2015-08-25,25,237,2015,22.48,164,firstDay
2015-08-25,25,237,2015,22.52,36,firstDay
2015-08-25,25,237,2015,22.53,82,firstDay
2015-08-25,25,237,2015,22.58,51,firstDay
2015-08-25,25,237,2015,22.6,26,firstDay
2015-08-25,25,237,2015,22.9,198,firstDay
2015-08-25,25,237,2015,22.95,141,firstDay
2015-08-25,25,237,2015,22.97,70,firstDay
2015-08-25,25,237,2015,23.1,48,firstDay
2015-08-25,25,237,2015,23.12,80,firstDay
2015-08-25,25,237,2015,23.15,41,firstDay
2015-08-25,25,237,2015,23.17,161,firstDay
2015-08-25,25,237,2015,23.18,203,firstDay
2015-08-25,25,237,2015,23.2,65,firstDay
2015-08-25,25,237,2015,23.22,55,firstDay
2015-08-25,25,237,2015,23.28,86,firstDay
2015-08-25,25,237,2015,23.3,155,firstDay
2015-08-25,25,237,2015,23.42,36,firstDay
2015-08-25,25,237,2015,23.47,25,firstDay
2015-08-25,25,237,2015,23.48,9,firstDay
2015-08-25,25,237,2015,23.5,237,firstDay
2015-08-25,25,237,2015,23.55,14,firstDay
2015-08-25,25,237,2015,23.57,72,firstDay
2015-08-25,25,237,2015,23.6,26,firstDay
2015-08-25,25,237,2015,23.65,64,firstDay
2015-08-25,25,237,2015,23.67,59,firstDay
2015-08-25,25,237,2015,23.7,58,firstDay
2015-08-25,25,237,2015,23.73,128,firstDay
2015-08-25,25,237,2015,23.78,101,firstDay
2015-08-25,25,237,2015,23.83,25,firstDay
2015-08-25,25,237,2015,23.85,97,firstDay
2015-08-25,25,237,2015,23.87,76,firstDay
2015-08-25,25,237,2015,23.92,211,firstDay
2015-08-25,25,237,2015,23.93,210,firstDay
2015-08-25,25,237,2015,23.97,73,firstDay
2015-08-25,26,238,2015,24,70,firstDay
2015-08-25,26,238,2015,24.02,130,firstDay
2015-08-25,26,238,2015,24.03,167,firstDay
2015-08-25,26,238,2015,24.07,113,firstDay
2015-08-25,26,238,2015,24.13,97,firstDay
2015-08-25,26,238,2015,24.15,94,firstDay
2015-08-25,26,238,2015,24.17,79,firstDay
2015-08-25,26,238,2015,24.2,102,firstDay
